jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2051,versorgungsdienststellen,Versorgungsdienststellen,2.561,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2052,kindererziehungszeiten,Bund,37.295,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2052,pflegezeiten,Pflegeversicherung,10.970,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2052,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.072,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2052,versorgungsdienststellen,Versorgungsdienststellen,2.625,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2053,kindererziehungszeiten,Bund,38.228,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2053,pflegezeiten,Pflegeversicherung,11.244,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2053,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.349,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2053,versorgungsdienststellen,Versorgungsdienststellen,2.691,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2054,kindererziehungszeiten,Bund,39.183,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2054,pflegezeiten,Pflegeversicherung,11.525,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2054,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.632,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2054,versorgungsdienststellen,Versorgungsdienststellen,2.758,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2055,kindererziehungszeiten,Bund,40.163,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2055,pflegezeiten,Pflegeversicherung,11.813,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2055,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.923,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
