jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,alter,bevoelkerung_altersjahr_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbstaetigenquote_65plus,effektive_beitragszahler_mio
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,72,2.332,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,67,1.899,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,68,2.061,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,69,2.098,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,70,2.207,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,71,2.261,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,72,2.267,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,67,1.899,1.000,1.899,0.102131,0.165
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,68,2.061,0.400,0.824,0.102131,0.072
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,69,2.098,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,70,2.207,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,71,2.261,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,72,2.267,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,67,1.899,1.000,1.899,0.102131,0.165
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,68,2.061,1.000,2.061,0.102131,0.179
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,69,2.098,0.800,1.679,0.102131,0.146
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,70,2.207,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,71,2.261,0.000,0.000,0.102131,0.000
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,72,2.267,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,67,2.029,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,68,2.027,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,69,1.973,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,70,1.941,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,71,1.813,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,72,1.746,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,67,2.029,1.000,2.029,0.102131,0.176
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,68,2.027,1.000,2.027,0.102131,0.176
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,69,1.973,0.500,0.986,0.102131,0.086
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,70,1.941,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,71,1.813,0.000,0.000,0.102131,0.000
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,72,1.746,0.000,0.000,0.102131,0.000
